,city,cloudiness,country,date,humidity,lat,lng,max_temp,wind_speed
336,gravdal,92,NO,1551928807,86,59.79,5.78,5.0,7.7
337,mount isa,0,AU,1551925800,23,-20.73,139.49,36.0,6.7
338,araouane,0,ML,1551928907,30,18.9,-3.53,11.14,1.17
339,ambon,0,FR,1551928530,76,47.55,-2.56,9.0,7.2
340,letterkenny,92,IE,1551928907,100,54.95,-7.73,6.44,14.22
341,alice springs,0,AU,1551925800,19,-23.7,133.88,31.0,4.1
342,ranong,40,TH,1551924000,74,9.96,98.62,30.0,0.5
343,katubao,90,PH,1551924000,78,5.89,124.83,27.0,2.1
344,tevaitoa,48,PF,1551928908,97,-16.78,-151.5,29.24,5.82
345,kahului,90,US,1551928420,93,20.89,-156.47,25.0,7.7
346,rincon,1,US,1551928701,86,32.3,-81.24,5.56,1.22
347,kudat,75,MY,1551924000,74,6.89,116.84,30.0,2.1
348,kamaishi,75,JP,1551924000,100,39.28,141.86,4.0,6.7
349,swan river,0,CA,1551928757,60,52.11,-101.27,-17.51,1.82
350,baculin,68,PH,1551928909,100,7.45,126.58,23.74,2.82
351,payo,20,ID,1551928809,92,-3.75,103.64,28.74,1.22
352,chipiona,20,PE,1551928910,86,-14.54,-75.2,14.17,0.42
353,port blair,20,IN,1551924000,74,11.67,92.75,28.0,1.0
354,berdigestyakh,56,RU,1551928910,68,62.1,126.7,-4.54,3.57
355,souillac,90,FR,1551928689,87,45.6,-0.6,9.44,6.7
356,hervey bay,40,AU,1551928508,62,-25.3,152.85,31.67,5.7
357,liku,80,ID,1551928911,91,-0.73,119.89,26.79,1.27
358,rio gallegos,0,AR,1551924000,75,-51.62,-69.22,5.0,5.7
359,provideniya,0,RU,1551925800,62,64.42,-173.23,-6.0,7.0
360,udala,40,ES,1551928863,86,43.08,-2.51,11.67,3.1
361,buala,56,SB,1551928733,80,-8.15,159.59,30.09,2.77
362,dabakala,0,CI,1551928912,57,8.36,-4.43,21.39,2.97
363,ankang,92,CN,1551928912,67,32.73,108.99,3.54,1.57
364,moba,48,CD,1551928912,100,-7.04,29.77,19.49,2.92
365,floro,80,NO,1551928505,65,61.6,5.03,5.0,3.6
366,imbituba,75,BR,1551924000,94,-28.24,-48.67,24.0,1.5
367,ugoofaaru,92,MV,1551928757,100,5.67,73.0,27.64,2.52
